"Type","Source","Destination","Size (Bytes)","Alt Text","Anchor","Status Code","Status","Follow","Target","Rel","Path Type","Link Path","Link Position","Link Origin"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","24ToolHub","","200","OK","true","","","Path-Relative","//body/header/div/div[@class='header-branding']/a","Header","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Home","200","OK","true","","","Path-Relative","//body/header/div/div[@class='header-actions']/a[1]","Header","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Text & String Tools","200","OK","true","","","Path-Relative","//body/footer/div/div[@class='footer-grid']/div[@class='footer-section'][1]/ul/li[1]/a","Footer","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Conversion & Calculator","200","OK","true","","","Path-Relative","//body/footer/div/div[@class='footer-grid']/div[@class='footer-section'][1]/ul/li[2]/a","Footer","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Generator & Formatter","200","OK","true","","","Path-Relative","//body/footer/div/div[@class='footer-grid']/div[@class='footer-section'][1]/ul/li[3]/a","Footer","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Encoder & Crypto","200","OK","true","","","Path-Relative","//body/footer/div/div[@class='footer-grid']/div[@class='footer-section'][1]/ul/li[4]/a","Footer","HTML"
"Hyperlink","https://www.24toolhub.com/","https://www.24toolhub.com/","31644","","Utility & Misc","200","OK","true","","","Path-Relative","//body/footer/div/div[@class='footer-grid']/div[@class='footer-section'][1]/ul/li[5]/a","Footer","HTML"
"Hyperlink","https://www.24toolhub.com/tools/caesar-cipher.html","https://www.24toolhub.com/","31644","24ToolHub","","200","OK","true","","","Path-Relative","//body/header/div/div[@class='header-branding']/a","Header","HTML"
"Hyperlink","https://www.24toolhub.com/tools/caesar-cipher.html","https://www.24toolhub.com/","31644","","Home","200","OK","true","","","Path-Relative","//body/header/div/div[@class='header-actions']/a[1]","Header","HTML"
"Hyperlink","https://www.24toolhub.com/tools/caesar-cipher.html","https://www.24toolhub.com/","31644","","← Back to Home","200","OK","true","","","Path-Relative","//body/main/div/div[@class='tool-header']/a","Header","HTML"
